#RUNE,Orris_eth,1652261964456894464,https://twitter.com/OxTolliverBTC/status/1652261964456894464,2023-04-29 10:42:04+00:00,"Trending #Thorchain News 🤓

Unizen (ZCX) enters into a strategic partnership with Thorchain (RUNE)

#cryptonews #crypto #cryptocurrency $RUNE #RUNE

Follow for more 👇 https://t.co/qztVlEuyUf",361678193,128,1,0
#RUNE,Someone Somewhere,1652259382762037248,https://twitter.com/gimmesomepie/status/1652259382762037248,2023-04-29 10:31:49+00:00,"RT @95MoonGirl: Last Trade #Signal    
    
#RUNE,📊Somnus 🚀📈📉,1652175433931313152,https://twitter.com/WinterImmortals/status/1652175433931313152,2023-04-29 04:58:14+00:00,"See you to the Moon !

#BTC
#ETH
#RUNE
#SOL
#ADA
#Crypto
#BINANCE
#USDT
#BYBIT https://t.co/R0H5iqNnRw",1640396045569122305,14,2,0
#RUNE,cryptowise.finance,1652169485502103553,https://twitter.com/cryptowise_fin/status/1652169485502103553,2023-04-29 04:34:35+00:00,"🎯🎯 Cryptowise $RUNE Update 🎯🎯

#RUNE Resistance/Support Update! 📈
    
Next support: 1.34
Resistance: 1.37
Price: 1.362

Discover more 👇
https://t.co/ZHho6FNk5W
    
#charting #trading #news #crypto #cryptocurrency #BTC #bitcoin #altcoin #AI #money #blockchain https://t.co/vA6eZMDeMI",1268510954645606400,1983,0,0
#RUNE,Trading Sweetie 🦋,1652168339806879744,https://twitter.com/Trading_Sweetie/status/1652168339806879744,2023-04-29 04:30:02+00:00,"Last Trade #Signal    
    
#DOT    10.03%
#RUNE    65.98%
#PHB    68.93%
#MKR    70.18%
#BAL    63.17%
$AVAX    98.29%
$1INCH    42.00%
$DOT    76.28%
#WAVES    55.20%
#SOL    53.90%
    
All Details on Bio  Total Profit   603.95%",1516430595060084743,501,0,0
#RUNE,Arta,1652168338318016512,https://twitter.com/Arta45872635/status/1652168338318016512,2023-04-29 04:30:02+00:00,"Last Trade #Signal    
    
#DOT    10.03%
#RUNE    65.98%
#PHB    68.93%
#MKR    70.18%
#BAL    63.17%
$AVAX    98.29%
$1INCH    42.00%
$DOT    76.28%
#WAVES    55.20%
#SOL    53.90%
    
All Details on Bio  Total Profit   603.95%",1548657777651884032,148,0,0
#RUNE,Trend Maker,1652168337558847488,https://twitter.com/Trend22Maker/status/1652168337558847488,2023-04-29 04:30:02+00:00,"Last Trade #Signal    
    
#DOT    10.03%
#RUNE    65.98%
#PHB    68.93%
#MKR    70.18%
#BAL    63.17%
$AVAX    98.29%
$1INCH    42.00%
$DOT    76.28%
#WAVES    55.20%
#SOL    53.90%
    
All Details on Bio  Total Profit   603.95%",1599163311635013632,34,0,0
#RUNE,Moon Girl 💃,1652168336975835138,https://twitter.com/95MoonGirl/status/1652168336975835138,2023-04-29 04:30:01+00:00,"Last Trade #Signal    
    
#DOT    10.03%
#RUNE    65.98%
#PHB    68.93%
#MKR    70.18%
#BAL    63.17%
$AVAX    98.29%
$1INCH    42.00%
$DOT    76.28%
#WAVES    55.20%
#SOL    53.90%
    
All Details on Bio  Total Profit   603.95%",1473932145286692865,285,0,0
#RUNE,Arta,1652153246071369728,https://twitter.com/Arta45872635/status/1652153246071369728,2023-04-29 03:30:04+00:00,"Last Trade #Signal    
    
#RUNE    65.60%
#XTZ    79.32%
#ARPA    32.91%
#AVAX    45.89%
#BCH    11.07%
$KAVA    72.95%
#ENS    98.16%
$FIL    81.91%
$GMT    73.58%
$BLZ    90.68%
    
All Details on Bio  Total Profit   652.05%",1548657777651884032,148,0,0
#RUNE,CryptoMatic Bot,1652150485241962500,https://twitter.com/cryptomaticbot/status/1652150485241962500,2023-04-29 03:19:05+00:00,"🔴 Sell $RUNE [Spot Hourly]
RUNE/USDT
Average Cost: $1.344
Sell Price: $1.358
Filled: 11.1607 #RUNE / 15.16 #USDT
PNL: $0.16 / 1.04%",2734808984,1964,0,0
#RUNE,Trading Sweetie 🦋,1652145688321445888,https://twitter.com/Trading_Sweetie/status/1652145688321445888,2023-04-29 03:00:02+00:00,"Last Trade #Signal    
    
#RUNE    65.60%
#XTZ    79.32%
#ARPA    32.91%
#AVAX    45.89%
#BCH    11.07%
$KAVA    72.95%
#ENS    98.16%
$FIL    81.91%
$GMT    73.58%
$BLZ    90.68%
    
All Details on Bio  Total Profit   652.05%",1516430595060084743,501,0,0
#RUNE,Moon Girl 💃,1652145687562158080,https://twitter.com/95MoonGirl/status/1652145687562158080,2023-04-29 03:00:01+00:00,"Last Trade #Signal    
    
#RUNE    65.60%
#XTZ    79.32%
#ARPA    32.91%
#AVAX    45.89%
#BCH    11.07%
$KAVA    72.95%
#ENS    98.16%
$FIL    81.91%
$GMT    73.58%
$BLZ    90.68%
    
All Details on Bio  Total Profit   652.05%",1473932145286692865,285,0,0
#RUNE,Trend Maker,1652145687172116480,https://twitter.com/Trend22Maker/status/1652145687172116480,2023-04-29 03:00:01+00:00,"Last Trade #Signal    
    
#RUNE    65.60%
#XTZ    79.32%
#ARPA    32.91%
#AVAX    45.89%
#BCH    11.07%
$KAVA    72.95%
#ENS    98.16%
$FIL    81.91%
$GMT    73.58%
$BLZ    90.68%
    
All Details on Bio  Total Profit   652.05%",1599163311635013632,34,0,0
#RUNE,Cryptomoon,1652143676708081664,https://twitter.com/Cryptomoonbtc/status/1652143676708081664,2023-04-29 02:52:02+00:00,"Big event of #Opulous coin tomorrow 

—-&gt;don’t sleep on it definitely 
fill your bag tonight don’t wait tomorrow !!

#btc   #bitcoin   #opulous #crypto #bnb   #eth #ethereum #rndr #nft #nfts #xrp #doge #pepe #ltc #rune #ada #cardano #sol #solana #bullrun #gemcoin #bullmarket… https://t.co/kcOwps731i https://t.co/c0PZtLDtU9",948029796780560385,436,6,0
#RUNE,Cryptomoon,1652143334717104128,https://twitter.com/Cryptomoonbtc/status/1652143334717104128,2023-04-29 02:50:40+00:00,"Big event of #Opulous coin tomorrow 

—-&gt;don’t sleep on it definitely 

fill your bag tonight don’t wait tomorrow !!

#btc   #bitcoin   #opulous #crypto #bnb   #eth #ethereum #rndr #nft #nfts #xrp #doge #pepe #ltc #rune #ada #cardano #sol #solana #bullrun #gemcoin #bullmarket… https://t.co/sGXRxnDiCk https://t.co/8H14MIW6VB",948029796780560385,436,0,0
#RUNE,cryptowise.finance,1652109010819076098,https://twitter.com/cryptowise_fin/status/1652109010819076098,2023-04-29 00:34:17+00:00,"🎯🎯 Cryptowise $RUNE Update 🎯🎯

#RUNE Resistance/Support Update! 📈
    
Next support: 1.34
Resistance: 1.37
Price: 1.35

Discover more 👇
https://t.co/ZHho6FNk5W
    
#charting #trading #news #crypto #cryptocurrency #BTC #bitcoin #altcoin #AI #money #blockchain https://t.co/6LAhSKxgzw",1268510954645606400,1983,0,0
#RUNE,CryptoMatic Bot,1652100680948109312,https://twitter.com/cryptomaticbot/status/1652100680948109312,2023-04-29 00:01:11+00:00,"🟢 Buy $RUNE [Spot Daily]
RUNE/BUSD
Filled: 14.7929 #RUNE / 20.00 #BUSD
Buy Price: $1.352",2734808984,1964,0,0
#RUNE,seventhgame,1652100503147347970,https://twitter.com/seventhgame/status/1652100503147347970,2023-04-29 00:00:29+00:00,"CRAZY MATCHES in DAY 3 🥵🤯 part 1

@MutuaMadridOpen | #MMOPEN | #RUNE | #Alcaraz | #zverev | #ATPMadrid https://t.co/ftKeFdyWxw",1643022703723528192,14,2,0
#RUNE,Kevin Makridis,1652080197414297600,https://twitter.com/KevinMakridis/status/1652080197414297600,2023-04-28 22:39:47+00:00,"I have 1 ticket for Roland Garros Semi Final 2 (Night) scheduled on June 9 2023. Category 2
DM me if interested
#Semifinal #RolandGarros #ticket #tickets #final #RG #RG23 #Nadal #Djoko #Djokovic #RUNE #Alcaraz  #Tsitsipas #tennis #Grandslam #Clay",1858380302,10,0,0
#RUNE,LAMWoodcraft,1652073704443064320,https://twitter.com/LamWoodcraft/status/1652073704443064320,2023-04-28 22:13:59+00:00,"Calling all #Vikings  our Newest Viking Wood slice Coaster will guide your path through to the mead for your raiding #party. 
These Vegvisir coasters are #handmade and perfect of all #Norse enthusiast.
https://t.co/L6cRBksx7u via @Etsy 
 #woodencoaster #DnD 
#fantasy #rune #pagan",1488874137074475010,105,1,0
#RUNE,Sol☼🎾♻️,1652056419602972673,https://twitter.com/saraujo03/status/1652056419602972673,2023-04-28 21:05:18+00:00,"RT @VoodeMar: #Rune in back-to-back matches:

VdZS 64 16 76(3) - 4 m.p.
Bublik 61 46 76(9) - 1 m.p.

so far only 3-4 in deciding 3rd set ti…",56814306,719,0,1
#RUNE,CTS,1652052588383150081,https://twitter.com/quant_coin/status/1652052588383150081,2023-04-28 20:50:05+00:00,"Swing 🚥 Signals

#MINA 🟢 $0.68
#FXS 🔴 $7.83
#DASH 🟡 $50.13
#WOO 🟢 $0.29
#LRC 🟡 $0.35
#ZIL 🟡 $0.03
#RUNE 🔴 $1.35
#DYDX 🟢 $2.73
#CVX 🟡 $5.27
#1INCH 🟡 $0.48

https://t.co/xzqH6LyCnS",1392291771707703297,6236,0,0
#RUNE,cryptowise.finance,1652048648182571030,https://twitter.com/cryptowise_fin/status/1652048648182571030,2023-04-28 20:34:25+00:00,"🎯🎯 Cryptowise $RUNE Update 🎯🎯

#RUNE Resistance/Support Update! 📈
    
Next support: 1.35
Resistance: 1.39
Price: 1.351

Discover more 👇
https://t.co/ZHho6FNk5W
    
#charting #trading #news #crypto #cryptocurrency #BTC #bitcoin #altcoin #AI #money #blockchain https://t.co/uXVC7ZmN5c",1268510954645606400,1983,0,0
#RUNE,seventhgame,1652041127019552778,https://twitter.com/seventhgame/status/1652041127019552778,2023-04-28 20:04:32+00:00,"We’re you not ENTERTAINED?🤤😮‍💨
@holgerrune won an EPIC match 6-1 4-6 7(11)-6(9) against @bublik 🥵🤯

@atptour @mutuamadridopen #tennis #rune #bublik #madridopen #tennisplayer #clay #atp https://t.co/bp8MMaecFm",1643022703723528192,14,2,0
#RUNE,Voo de Mar,1652039217558462478,https://twitter.com/VoodeMar/status/1652039217558462478,2023-04-28 19:56:57+00:00,"#Rune in back-to-back matches:

VdZS 64 16 76(3) - 4 m.p.
Bublik 61 46 76(9) - 1 m.p.

so far only 3-4 in deciding 3rd set tie-breaks, but with his technique-mental skills, should be very good 60% as he has played 20 at least",976645458,838,1,1
#RUNE,Fabian__89,1652038804960583689,https://twitter.com/FabianR1989/status/1652038804960583689,2023-04-28 19:55:19+00:00,"Holger #Rune 😳💪🏼 

Brilliant match 💪🏼💪🏼💪🏼 #MadridOpen @holgerrune2003",1423170644,58,1,0
#RUNE,HollandHolland,1652038000195280917,https://twitter.com/AuroraCalliope/status/1652038000195280917,2023-04-28 19:52:07+00:00,"In #Madrid, #Alcaraz, @BautistaAgut, #Coric, #Grenier (#Korda), #Hurkacz, #Davidovich, #Rune win. #Fritz/#Tiafoe, #Arevalo/#Rojer win. Also, #Trevisan, #Pera, #Martic, #Alexandrova, #Parks (#Azarenka), #Potapova, #Tsurenko, #Pegula, #Swiatek win. #Badosa/@matteksands win. @WTA",2473287518,6,0,0
#RUNE,infamous-whale.eth,1652037893945446401,https://twitter.com/lnfamousWhale/status/1652037893945446401,2023-04-28 19:51:41+00:00,"Wow

This guy spends some money on advertising 

I don't even follow him and got this notification 
Lmao
I don't follow idiots

#CRYPTO #BTC    #BOND #QNT #ENS #DESO #AAVE #ALCX #ETH #ICP #TRIAS #NEAR    #EGLD #METIS #MINA #RUNE #AZERO #FET #OCEAN #DOT #AVAX    #MATIC… https://t.co/iInGJuNUt1 https://t.co/5ySCuF6cU4",478051384,4014,3,0
#RUNE,Deacon_JPEG,1652037750156042246,https://twitter.com/Rogers_APT/status/1652037750156042246,2023-04-28 19:51:07+00:00,"Trending #Thorchain News 🤓

Unizen (ZCX) Enters A Strategic Partnership With Thorchain (RUNE)

#cryptonews #crypto #cryptocurrency $RUNE #RUNE

Follow for more 👇 https://t.co/PnoQEpFRIT",387864451,98,1,0
#RUNE,Everygame Sportsbook Official,1652033736589086720,https://twitter.com/EverygameSports/status/1652033736589086720,2023-04-28 19:35:10+00:00,The countdown continues to the second #GrandSlam of the 2023 #tennis year. Who will be crowned #KingOfClay in #Paris? https://t.co/H58w2o4w65 #ATPTour #Alcaraz #Djokovic #Nadal #Tsitsipas #Sinner #Ruud #Rune #Zverev #Medvedev #Rublev,19094501,4330,0,0
#RUNE,Rune K.C.,1652005743258681351,https://twitter.com/kc_rune/status/1652005743258681351,2023-04-28 17:43:56+00:00,#Rune booking/info 816-668-0854,1577611477145591808,59,0,0
#RUNE,GreenDoor,1651991363402051593,https://twitter.com/GreenDo54177650/status/1651991363402051593,2023-04-28 16:46:48+00:00,"RT @DavidInGeneva: Did i read uniswap ?

#thorchain #rune #bitcoin #crypto",1131179049089265671,78,0,4
#RUNE,☣️ LOKI ⚡️⚛️🔺🟢,1651989693771202561,https://twitter.com/olwetrim/status/1651989693771202561,2023-04-28 16:40:10+00:00,"RT @DavidInGeneva: Did i read uniswap ?

#thorchain #rune #bitcoin #crypto",1449778176096444424,154,0,4
#RUNE,cryptowise.finance,1651988188481691648,https://twitter.com/cryptowise_fin/status/1651988188481691648,2023-04-28 16:34:11+00:00,"🎯🎯 Cryptowise $RUNE Update 🎯🎯

#RUNE Resistance/Support Update! 📈
    
Next support: 1.35
Resistance: 1.39
Price: 1.344

Discover more 👇
https://t.co/ZHho6FNk5W
    
#charting #trading #news #crypto #cryptocurrency #BTC #bitcoin #altcoin #AI #money #blockchain https://t.co/Yiaebr32Bg",1268510954645606400,1983,0,0
#RUNE,Lovecraft&Art,1651987228632002567,https://twitter.com/LOVECRAFTandART/status/1651987228632002567,2023-04-28 16:30:22+00:00,"You may feel like youre in a slump right now, consider writing out your goals and motivations, and at least 3 ways of supporting those goals.
Get your personal reading with me at 
https://t.co/k2GKPtVLP7
https://t.co/U59IyeKxtB
#angelnumber
#luckynumber
#tarot
#divination
#rune https://t.co/jcKRN5SHRC",1566539339496132608,12,0,0
#RUNE,The Coach,1651987183429992448,https://twitter.com/YourFriend_Ship/status/1651987183429992448,2023-04-28 16:30:11+00:00,"#Ruusuvvori showed us quite a bit today. Have to think that if coaching was still illegal in ATP matches that he’d have won this one today. Either way, great win for #Alcaraz! Hoping to see Alcaraz vs #Rune later this event. #ATP #ATPMadrid",1431060072231280640,61,0,0
#RUNE,cryptowise.finance,1651979991872151554,https://twitter.com/cryptowise_fin/status/1651979991872151554,2023-04-28 16:01:37+00:00,"Trending #Thorchain News 🤓

Unizen (ZCX) Enters A Strategic Partnership With Thorchain (RUNE)

#cryptonews #crypto #cryptocurrency $RUNE #RUNE

Follow for more 👇 https://t.co/ZiRq3yhIfY",1268510954645606400,1983,1,0
#RUNE,cryptowise.finance,1651979962629472257,https://twitter.com/cryptowise_fin/status/1651979962629472257,2023-04-28 16:01:30+00:00,"Trending #Thorchain News 🤓

THORChain Price Prediction 2023, 2024, 2025, 2026

#cryptonews #crypto #cryptocurrency $RUNE #RUNE

Follow for more 👇 https://t.co/piAymMv2n7",1268510954645606400,1983,1,0
#RUNE,cryptowise.finance,1651979935123136520,https://twitter.com/cryptowise_fin/status/1651979935123136520,2023-04-28 16:01:23+00:00,"Trending #Thorchain News 🤓

Unizen (ZCX) enters into a strategic partnership with Thorchain (RUNE)

#cryptonews #crypto #cryptocurrency $RUNE #RUNE

Follow for more 👇 https://t.co/ZwlBS0PjKT",1268510954645606400,1983,1,0
#RUNE,heat🔥her 💧maryam silver🌙,1651976007753113601,https://twitter.com/HermaJestar/status/1651976007753113601,2023-04-28 15:45:47+00:00,"RT @HermaJestar: ᛇ
#Rune #Symbolism: Eiwaz
Death, Yggdrasil
💀 ""What goes around...""

Tarot: ♏ Death

Keywords: Kundalini, Yew Tree, Transfo…",1255465577306521600,369,0,5
#RUNE,SplittingMaulDesigns,1651973034943586310,https://twitter.com/SplittingMaul/status/1651973034943586310,2023-04-28 15:33:58+00:00,"Heathen Rune - Viking Unisex Softstyle T-Shirt https://t.co/GAzU0R2Bhu via @Etsy 

#Viking #Heathen #Rune #TShirt",1641857738740228109,3,0,0
#RUNE,CryptoMatic Bot,1651949521226571778,https://twitter.com/cryptomaticbot/status/1651949521226571778,2023-04-28 14:00:32+00:00,"🟢 Buy $RUNE [Spot Hourly]
RUNE/USDT
Filled: 11.1607 #RUNE / 15.00 #USDT
Buy Price: $1.344",2734808984,1964,0,0
#RUNE,Signal guy!,1651947934131408897,https://twitter.com/crypto_guru_1/status/1651947934131408897,2023-04-28 13:54:13+00:00,"Can escape the reality only by this.

Binance Futures
#RUNE/#USDT Take-Profit target 2 ✅
Profit: 83.3333% 📈
Period: 15 Hours 17 Minutes ⏰",1022148009994403840,2760,0,0
#RUNE,Signal guy!,1651946632823308288,https://twitter.com/crypto_guru_1/status/1651946632823308288,2023-04-28 13:49:03+00:00,"As said before REN and RUNE 👩‍❤️‍👨💰

Binance Futures
#RUNE/#USDT Take-Profit target 1 ✅
Profit: 49.2611% 📈
Period: 11 Hours 38 Minutes ⏰",1022148009994403840,2760,0,0
#RUNE,Signal guy!,1651946512551747585,https://twitter.com/crypto_guru_1/status/1651946512551747585,2023-04-28 13:48:34+00:00,"#RUNE &amp; #REN Strong 💪

Binance Futures
#REN/#USDT Take-Profit target 1 ✅
Profit: 51.9481% 📈
Period: 6 Hours 12 Minutes ⏰ https://t.co/YPQBvV3Y7S",1022148009994403840,2760,0,0
#RUNE,Signal guy!,1651936482679042049,https://twitter.com/crypto_guru_1/status/1651936482679042049,2023-04-28 13:08:43+00:00,"Binance Futures
#RUNE/#USDT Take-Profit target 3 ✅
Profit: 92.0564% 📈
Period: 12 Hours 3 Minutes ⏰ https://t.co/HhREZdXvYt",1022148009994403840,2760,0,0
#RUNE,cryptowise.finance,1651927799253409793,https://twitter.com/cryptowise_fin/status/1651927799253409793,2023-04-28 12:34:13+00:00,"🎯🎯 Cryptowise $RUNE Update 🎯🎯

#RUNE Resistance/Support Update! 📈
    
Next support: 1.36
Resistance: 1.39
Price: 1.357

Discover more 👇
https://t.co/ZHho6FNk5W
    
#charting #trading #news #crypto #cryptocurrency #BTC #bitcoin #altcoin #AI #money #blockchain https://t.co/k7KqDRNtZw",1268510954645606400,1983,0,0
#RUNE,lisacrispin @lisacrispin@mastodon.social,1651921524905988102,https://twitter.com/lisacrispin/status/1651921524905988102,2023-04-28 12:09:17+00:00,"RT @tennisweeklypod: 🎧 NEW EPISODE! 

🎾 Title defence week on the tour: #Swiatek, #Alcaraz and #Rune go back to back, potential #WTA250 rul…",15171615,22241,0,4
#RUNE,感炎 麗黄,1651921060995158016,https://twitter.com/Kanen_Reiki1313/status/1651921060995158016,2023-04-28 12:07:26+00:00,"#rune Everyone's daily routine→Thanks to my overflowing words and intuition, I can speak more than usual, and my clear explanations are understood by those around me! Even if you're so focused that your memory skips a beat, God willing, your tongue will move smoothly, so relax! https://t.co/fIpHe5zeUH",1584873082602557440,37,0,0
#RUNE,Crypto Frog,1651902859628236801,https://twitter.com/_Crypto_Frog/status/1651902859628236801,2023-04-28 10:55:07+00:00,"Top 5 #cryptocurrency #price jumps in last minute on #MEXC
👉https://t.co/AdJlZWUXsw
$IDYP 10.77%
$ZKP 0.96%
$TOMI 0.73%
$RUNE 0.37%
$NYM 0.33%
 #IDYP #ZKP #TOMI #RUNE #NYM #crypto #cryptonews #cryptoAlerts #blockchain #cryptotrading #cryptoprices",1554816399385759744,1212,0,0
#RUNE,Kadesh⚡💊⚒️👾🎈🗽🎭🍫,1651896119826210818,https://twitter.com/Kadesh_bull/status/1651896119826210818,2023-04-28 10:28:20+00:00,"RT @Rob80949294: 2/3 @THORChain #Rune $Rune 

Fundamentals stronger than ever before !

@TrustWallet $TWT integrated ✅
@ShapeShift $FOX int…",1196474318340931589,1145,0,3
#RUNE,"MADARA⚡️⚒(ᚱ) 🍫,🎭 #THORFI #FAIRLAUNCH",1651880303349338112,https://twitter.com/CryptoMadara00/status/1651880303349338112,2023-04-28 09:25:29+00:00,"RT @Rob80949294: 2/3 @THORChain #Rune $Rune 

Fundamentals stronger than ever before !

@TrustWallet $TWT integrated ✅
@ShapeShift $FOX int…",1397232347292979200,1525,0,3
#RUNE,"MADARA⚡️⚒(ᚱ) 🍫,🎭 #THORFI #FAIRLAUNCH",1651880191780884480,https://twitter.com/CryptoMadara00/status/1651880191780884480,2023-04-28 09:25:02+00:00,"RT @DavidInGeneva: Did i read uniswap ?

#thorchain #rune #bitcoin #crypto",1397232347292979200,1525,0,4
#RUNE,cryptowise.finance,1651867407810535427,https://twitter.com/cryptowise_fin/status/1651867407810535427,2023-04-28 08:34:14+00:00,"🎯🎯 Cryptowise $RUNE Update 🎯🎯

#RUNE Resistance/Support Update! 📈
    
Next support: 1.36
Resistance: 1.39
Price: 1.369

Discover more 👇
https://t.co/ZHho6FNk5W
    
#charting #trading #news #crypto #cryptocurrency #BTC #bitcoin #altcoin #AI #money #blockchain https://t.co/F6BGytbXw0",1268510954645606400,1983,0,0
#RUNE,TickerSignals,1651862319901573121,https://twitter.com/TickerSignals/status/1651862319901573121,2023-04-28 08:14:01+00:00,"don't act upon it unless you know what you're doing
$RUNE: Something is happening with RUNE-USDT #RUNE 
ratio ~ 0.89
mc / vol. ratio 0.08
kc vol ~ 1.13
MC 463744776.0
(re)enter @ 1.37548 https://t.co/EPbONKuHXA",1484435670567370752,4445,0,0
#RUNE,kilo,1651858471573401600,https://twitter.com/thekiloalpha/status/1651858471573401600,2023-04-28 07:58:44+00:00,"RT @Rob80949294: 2/3 @THORChain #Rune $Rune 

Fundamentals stronger than ever before !

@TrustWallet $TWT integrated ✅
@ShapeShift $FOX int…",1590262875217866752,170,0,3
#RUNE,PEPE X BULL,1651858245676302338,https://twitter.com/tscryptokings/status/1651858245676302338,2023-04-28 07:57:50+00:00,#RUNE /USDT SPOT SWING TRADE $Rune #Thorchain https://t.co/kOaUsa1Ilv,1601620857503244290,39,0,0
#RUNE,The Lost Foundry Collective,1651852714068910081,https://twitter.com/FoundryLost/status/1651852714068910081,2023-04-28 07:35:51+00:00,"From the Lost Foundry Collective: Algiz #Rune #Pendant . 
 Signifying divine blessing and protection.

https://t.co/RR4alEmbXp
